Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
ENACT,27,11,30,8350,9627,1,37,0,109,16577,1341,36110
O'NEILL PATIENT,29,89,48,6546,8118,2,350,0,78,8821,1108,25189
DEVONSHIRES,7,28,8,9106,785,3,71,0,71,6306,3197,19582
OPTIMA LEGAL SERVICES,3,3,4,4547,4877,63,4,0,14,8261,454,18230
HBOS PLC BANK,0,0,0,17406,0,0,0,0,0,2,0,17408
EVERSHEDS LLP,109,85,71,3118,2353,153,147,0,287,9082,1232,16637
BREEZE & WYLES,8,80,40,6418,8444,0,58,0,11,1200,352,16611
BARCLAYS BANK PLC,0,0,0,9467,3,0,0,0,0,6624,70,16164
TM GROUP (UK) LTD (SEARCH CHOICE),0,0,0,2,2437,0,132,5,1315,8440,3219,15550
LEGAL MARKETING SERVICES LIMITED,0,0,0,0,0,0,0,0,0,15231,1,15232
MY HOME MOVE LIMITED,74,128,156,2742,2983,3,497,0,108,5013,3499,15203
INFOTRACK LIMITED,1,0,0,2,1787,0,273,0,233,8704,2147,13147
GRINDEYS LLP,17,28,32,2873,4201,0,137,0,15,2808,294,10405
Shulmans,4,6,18,3134,4103,0,19,0,13,2268,268,9833
TLT LLP,13,118,10,1794,149,124,525,0,50,5575,1148,9506
NATIONWIDE BUILDING SOCIETY,0,0,0,9232,0,0,0,0,0,0,0,9232
GORDONS PROPERTY LAWYERS,5,16,10,2438,2497,1,27,0,4,3378,489,8865
TROWERS & HAMLINS,24,65,47,4954,168,8,199,0,99,2591,686,8841
CONVEYANCING DIRECT LTD,6,21,12,3048,2572,0,34,0,13,2136,269,8111
ABBEY NATIONAL PLC,0,0,0,7706,0,0,0,0,0,0,0,7706
HUGH JAMES SOLICITORS,16,32,40,1432,1436,0,52,0,57,2842,920,6827
SHOOSMITHS,25,142,72,1289,583,0,174,0,135,3453,950,6823
NATIONAL WESTMINSTER BANK PLC,0,0,0,6685,0,0,0,0,0,28,23,6736
LLOYDS BANK PLC,0,0,0,1999,142,0,0,0,1,3280,1026,6448
HBOS PLC,0,0,0,6125,2,0,0,0,0,10,139,6276
HOMES AND COMMUNITIES AGENCY,0,1,0,5833,0,0,0,0,1,227,56,6118
HSBC BANK PLC,0,0,0,5668,0,0,0,0,0,17,1,5686
J B LEITCH LLP,0,0,0,5,4,0,4,0,1,3646,1531,5191
SOLEX LEGAL SERVICES LIMITED,0,3,4,1215,1696,0,3,0,0,1818,141,4880
HMRC,0,0,0,77,0,1,0,0,1,4562,208,4849
SANTANDER UK PLC,0,0,0,4816,2,0,0,0,0,2,2,4822
NLIS,0,0,0,0,694,47,20,0,2349,1383,262,4755
LMS (TRADING AS TOTAL CONVEYANCING SERVICES),6,13,5,1108,1310,0,5,0,24,1607,601,4679
GOWLING WLG (UK) LLP,31,61,27,740,200,95,220,49,245,2405,581,4654
ADDLESHAW GODDARD,4,25,15,342,145,44,48,0,145,3310,574,4652
CMS CAMERON MCKENNA LLP,7,13,10,363,179,3,98,0,132,3040,651,4496
